Site,Site Name,HR_age,Compost,Crops,Cover_Crop,Fallow,soil,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,log_N,log_C,CN_ratio,N_kg_m2,C_kg_m2
4,FBF,10,0,diverse,0,0,Yolo,1,H,1,50,75,25,15.25,51.5,33.25,84.75,1.414387799,6.7,0.085909196,0.607117825,3.037722969,21.46750112,0.482548165,1.331781494,7.066971328,0.303772297,2.146750112
4,FBF,10,0,diverse,0,0,Yolo,1,H,1,75,100,25,26.25,50,23.75,73.75,1.252985885,6.51,0.075960645,0.449882826,2.37944041,14.09242077,0.376474833,1.148985602,5.922577726,0.237944041,1.409242077
4,FBF,10,0,diverse,0,0,Yolo,1,H,2,0,10,10,19.75,50.25,30,80.25,1.347751433,6.67,0.141848502,1.541128512,1.911765212,20.77058161,0.281434555,1.317448658,10.86460904,0.191176521,2.077058161
4,FBF,10,0,diverse,0,0,Yolo,1,H,2,10,20,10,21,51.5,27.5,79,1.546448501,6.68,0.123473718,0.971419088,1.909457468,15.02249592,0.280909989,1.176742095,7.867415836,0.190945747,1.502249592
4,FBF,10,0,diverse,0,0,Yolo,1,H,2,20,50,30,16.3,53.5,30.2,83.7,1.550993612,6.54,0.055702724,0.520300336,2.591837067,24.2094749,0.413607697,1.38398537,9.340662348,0.259183707,2.42094749
4,FBF,10,0,diverse,0,0,Yolo,1,H,2,50,75,25,24.75,51.5,23.75,75.25,1.414387799,6.25,0.068830595,0.361009044,2.43382885,12.76516966,0.386290035,1.106026591,5.244892081,0.243382885,1.276516966
4,FBF,10,0,diverse,0,0,Yolo,1,H,2,75,100,25,32,53,15,68,1.252985885,6.71,0.061890772,0.258691828,1.938706587,8.103430215,0.287512086,0.908668896,4.179812597,0.193870659,0.810343022
4,FBF,10,0,diverse,0,0,Yolo,1,H,3,0,10,10,21,51.5,27.5,79,1.347751433,6.75,0.218186662,2.200931297,2.94061386,29.6630831,0.468438,1.472216288,10.08737784,0.294061386,2.96630831
4,FBF,10,0,diverse,0,0,Yolo,1,H,3,10,20,10,21,49,30,79,1.546448501,6.72,0.155525512,1.376010226,2.40512195,21.27928952,0.381137102,1.327957123,8.847488802,0.240512195,2.127928952
4,FBF,10,0,diverse,0,0,Yolo,1,H,3,20,50,30,16.5,55.25,28.25,83.5,1.550993612,6.42,0.065986842,0.661551962,3.070355108,30.78188599,0.487188608,1.488295225,10.02551331,0.307035511,3.078188599
