Site Name,Site,HR_age,Compost,Crops,Cover_Crop,Fallow,Soil_Type,Treatment,Location,Upper_Depth,Lower_Depth,Length,soil,sand,silt,clay,silt_clay,BD,pH,per_N,per_C,N_Mg_ha,C_Mg_ha,CN_ratio,log_N,log_C,profileC,POXc,EOC,EON,MBC,MBN,MB_CN_ratio,glucam,glucos,cell, GWC,Infiltration_Dry,Infiltration_Wet,SH_15,SSH_30,Macroagg,Microagg,Total_Agg
RB11E,14,20,0,tomato,0,0,3,H,1,0,10,10,Capay,26,29,45,74,1.520750433,6.18,0.211477987,2.589358807,3.216052403,39.37768528,12.24410561,0.507323117,1.595250184,122.4747624,599.65,30.6,29.4,143.7465932,26.68962712,5.385859929,0.737454445,2.200337953,0.538872048,0.154727794,9.48,56.12,15,75,29.5,32.2,61.7
RB11E,14,20,0,tomato,0,0,3,H,2,0,10,10,Capay,18.5,36.5,45,81.5,1.520750433,6.26,0.221314279,2.86775883,3.365637859,43.61145482,12.95785722,0.527067384,1.639600574,154.7336478,855.94,26.1,29.6,151.6352065,21.93645422,6.912475688,0.755758215,2.923016529,0.565794447,0.179675994,12.47,60.91,15,65,31.1,34.5,65.6
RB11E,14,20,0,tomato,0,0,3,H,3,0,10,10,Capay,23.5,34,42.5,76.5,1.520750433,6.19,0.262476893,2.843637785,3.991618483,43.24463392,10.83385953,0.601149025,1.635932225,143.2751534,796.61,26.0,35.1,135.027916,17.28936975,7.80988075,0.541324642,2.161897341,0.067393177,0.151212554,7.6,36.56,10,100,17.5,38.8,56.3
RB11E,14,20,0,tomato,0,4.5,3,R,1,0,10,10,Capay,24.75,35.25,40,75.25,1.429494229,6.17,0.101829151,0.816906167,1.455641837,11.67762652,8.0223213,0.163054529,1.067354581,94.88421747,651.86,13.3,22.3,98.1992647,11.81013072,8.314833006,0.174407184,0.667292616,0.08831544,0.138028169,6.18,261.3,25,160,37.9,27.1,65
RB11E,14,20,0,tomato,0,4.5,3,R,2,0,10,10,Capay,16,34,50,84,1.429494229,6.23,0.079477549,0.71602992,1.136126983,10.23560639,9.009209833,0.055426874,1.010113576,63.1979561,585.41,16.8,55.2,78.41342466,7.125796233,11.0041632,0.270312322,0.835590328,0.135654517,0.157287157,6.65,221.37,20,140,52.2,20.8,73
RB11E,14,20,0,tomato,0,4.5,3,R,3,0,10,10,Capay,16,34,50,84,1.429494229,6.21,0.079472909,0.658765337,1.136060641,9.417012478,8.289181175,0.055401514,0.973913146,72.30428294,545.07,15.5,26.0,93.53639576,12.93678445,7.230266231,0.19617136,0.769059368,0.12731071,0.17251462,20.63,255.83,15,125,47.1,24.8,71.9
HRF-C,15,25,0,rye,0,0,3,H,1,0,10,10,Capay,18.5,29,52.5,81.5,1.366145242,6.55,0.203094036,2.568563674,2.774559509,35.09031043,12.64716446,0.443194044,1.54518721,140.5958037,637.62,21.1,29.6,163.4055179,79.35322709,2.059217047,0.271845792,1.839566739,0.445333984,0.237082067,6.28,18.65,25,90,51.7,22.1,73.8
HRF-C,15,25,0,rye,0,0,3,H,2,0,10,10,Capay,14.75,31.5,53.75,85.25,1.366145242,6.38,0.108956831,1.328253683,1.488508559,18.14587449,12.19064168,0.172751336,1.258777902,127.7854585,276.92,26.7,21.9,158.4071146,107.0091996,1.48031305,0.390544992,2.320349449,0.413974839,0.229832572,7.9,21.12,30,75,48.1,27.2,75.3
HRF-C,15,25,0,rye,0,0,3,H,3,0,10,10,Capay,14.75,32.75,52.5,85.25,1.366145242,6.49,0.201814113,2.428412324,2.757073907,33.17563942,12.03291625,0.440448408,1.520819302,156.5604584,567.50,33.5,43.2,159.1112621,44.34815534,3.587776333,0.358409264,2.770814655,0.462772551,0.21969697,8.95,21.82,20,90,50,24.2,74.2
HRF-C,15,25,0,rye,0,3,3,R,1,0,10,10,Capay,16,29,55,84,1.243856526,6.48,0.109223075,0.934945787,1.358578348,11.62938419,8.559965795,0.133084689,1.065556718,106.8307603,394.06,16.5,46.1,100.040866,40.32093137,2.48111496,0.165828274,0.929792952,0.132984933,0.248157248,3.07,16.96,60,185,46.3,28.5,74.8
